,dc prop,dc vol,dc units,dc psf,dc cr,pitts prop,pitts vol,pitts units,pitts psf,pitts cr,bos prop,bos vol,bos units,bos psf,bos cr,nyc prop,nyc vol,nyc units,nyc psf,nyc cr,atl prop,atl vol,atl units,atl psf,atl cr,nash prop,nash vol,nash units,nash psf,nash cr,rd prop,rd vol,rd units,rd psf,rd cr,aus prop,aus vol,aus units,aus psf,aus cr,dall prop,dall vol,dall units,dall psf,dall cr,den prop,den vol, den units,den psf,den cr,hous prop,hous vol,hous units,hous psf,hous cr,la prop,la vol,la units,la psf,la cr,port prop,port vol,port units,port psf,port cr,slc prop,slc vol,slc units,slc psf,slc cr,sd prop,sd vol,sd units,sd psf,sd cr,sf prop,sf vol,sf units,sf psf,sd cr,sj prop,sj vol,sj units,sj psf,sj cr,sea prop,sea vol,sea units,sea psf,sea cr
06Q3, 34 ,"2,000,325,986.4"," 6,910,420 ",459,5.4%, 4 ,"41,875,000.0"," 381,670 ",110,7.5%, 29 ,"2,292,805,994.5"," 7,301,597 ",356,6.2%, 50 ,"4,961,076,453.8"," 8,340,837 ",619,5.1%, 35 ,"2,135,354,979.2"," 11,789,078 ",188,7.0%, 9 ,"130,139,946.0"," 970,822 ",134,7.0%, 5 ,"67,839,000.0"," 352,780 ",142,6.6%, 16 ,"553,829,045.2"," 3,925,947 ",256,6.4%, 68 ,"1,333,761,939.8"," 12,495,433 ",117,7.7%, 43 ,"683,442,497.7"," 5,982,136 ",130,6.7%, 21 ,"474,111,705.9"," 3,590,361 ",139,7.2%, 69 ,"1,701,555,485.9"," 7,348,189 ",271,6.2%, 15 ,"418,448,479.1"," 2,491,779 ",218,5.9%, 20 ,"314,818,042.3"," 2,444,773 ",160,7.6%, 34 ,"587,254,143.1"," 2,916,449 ",243,6.2%, 37 ,"1,835,651,666.7"," 5,379,710 ",273,7.3%, 40 ,"1,615,784,225.2"," 7,144,636 ",263,8.3%, 53 ,"1,386,941,128.6"," 6,528,338 ",241,6.7%
06Q4, 38 ,"3,694,615,126.8"," 9,091,790 ",500,5.4%, 4 ,"39,750,000.0"," 464,741 ",86,6.2%, 62 ,"5,832,143,771.4"," 15,530,928 ",376,6.3%, 48 ,"8,419,707,518.9"," 19,409,298 ",615,5.2%, 49 ,"1,143,875,751.5"," 8,207,524 ",137,6.6%, 9 ,"198,197,165.8"," 1,456,277 ",129,7.4%, 16 ,"272,233,768.7"," 2,102,522 ",119,7.9%, 8 ,"161,385,714.3"," 1,284,120 ",137,8.0%, 81 ,"2,376,859,900.4"," 20,132,965 ",114,7.2%, 51 ,"1,158,555,724.0"," 7,084,167 ",160,7.0%, 49 ,"1,929,716,229.1"," 13,541,765 ",147,7.3%, 99 ,"5,095,523,485.3"," 17,488,452 ",299,6.0%, 9 ,"111,933,603.3"," 865,910 ",129,6.4%, 7 ,"46,605,000.0"," 457,805 ",133,7.0%, 40 ,"1,213,923,239.6"," 3,865,735 ",302,6.3%, 33 ,"1,451,939,265.3"," 4,665,021 ",346,6.1%, 47 ,"1,289,020,629.9"," 5,705,713 ",235,5.7%, 22 ,"569,196,967.0"," 2,711,909 ",224,6.6%
07Q1, 22 ,"1,268,709,083.8"," 4,270,689 ",446,5.4%, 9 ,"111,980,838.3"," 1,507,487 ",66,8.6%, 69 ,"6,839,937,348.4"," 17,869,378 ",248,6.4%, 62 ,"16,582,836,505.9"," 20,909,993 ",705,4.8%, 47 ,"1,922,681,663.0"," 11,092,022 ",154,6.4%, 4 ,"19,608,100.0"," 206,455 ",95,8.2%, 16 ,"455,698,459.7"," 3,053,759 ",151,7.5%, 13 ,"940,400,000.0"," 3,799,362 ",101,#N/A, 34 ,"1,016,369,552.3"," 7,699,757 ",112,6.7%, 31 ,"1,805,288,282.2"," 7,551,833 ",245,7.0%, 35 ,"776,359,707.1"," 5,789,797 ",145,6.4%, 81 ,"4,496,643,324.0"," 13,249,832 ",304,6.0%, 48 ,"1,951,489,783.7"," 7,446,692 ",271,6.8%, 10 ,"104,600,000.0"," 755,590 ",169,7.1%, 34 ,"1,093,108,005.2"," 4,048,236 ",296,6.2%, 56 ,"3,470,913,965.5"," 10,947,490 ",363,5.4%, 42 ,"2,316,825,145.3"," 7,449,900 ",277,6.0%, 51 ,"3,090,259,722.8"," 11,158,118 ",197,6.6%
07Q2, 19 ,"1,831,088,357.0"," 3,555,899 ",535,5.2%, 5 ,"48,874,069.6"," 482,203 ",73,6.0%, 34 ,"1,621,279,029.4"," 5,709,298 ",218,6.1%, 62 ,"9,498,882,382.7"," 16,138,438 ",634,4.7%, 53 ,"1,107,230,984.6"," 7,944,643 ",157,6.7%, 11 ,"234,183,333.3"," 1,416,492 ",116,6.7%, 10 ,"104,921,500.0"," 717,965 ",143,7.2%, 23 ,"1,611,466,062.5"," 5,553,507 ",217,6.9%, 43 ,"837,078,721.1"," 8,066,634 ",100,6.7%, 29 ,"588,706,592.3"," 3,237,345 ",168,7.0%, 32 ,"672,562,041.0"," 5,807,386 ",123,7.0%, 83 ,"2,961,388,051.3"," 8,448,005 ",362,5.8%, 10 ,"192,908,887.0"," 946,946 ",225,6.7%, 7 ,"78,400,000.0"," 558,443 ",151,7.6%, 43 ,"1,607,911,346.5"," 4,826,612 ",380,5.9%, 54 ,"6,718,617,053.8"," 14,863,337 ",510,6.2%, 27 ,"1,102,269,869.5"," 3,590,910 ",337,6.1%, 71 ,"5,696,054,133.6"," 16,596,527 ",368,6.6%
07Q3, 17 ,"691,443,512.5"," 1,693,544 ",536,6.4%, 4 ,"27,483,530.0"," 549,018 ",50,8.7%, 28 ,"929,542,000.0"," 3,482,371 ",272,5.6%, 57 ,"6,464,821,051.8"," 9,690,087 ",692,4.6%, 47 ,"1,146,707,027.4"," 7,157,294 ",170,6.6%, 13 ,"77,688,853.4"," 802,685 ",93,7.4%, 16 ,"230,534,846.7"," 1,411,969 ",163,6.1%, 7 ,"242,470,862.4"," 1,454,925 ",179,5.3%, 53 ,"1,816,071,272.8"," 15,342,056 ",117,6.7%, 34 ,"1,314,964,361.4"," 6,295,342 ",161,7.8%, 42 ,"2,551,749,141.6"," 19,816,385 ",153,6.5%, 100 ,"3,280,577,712.6"," 10,742,727 ",314,6.0%, 13 ,"389,412,088.5"," 1,246,968 ",168,7.5%, 10 ,"299,010,005.1"," 1,371,041 ",91,7.7%, 57 ,"1,648,008,964.0"," 4,578,763 ",355,6.0%, 32 ,"2,107,094,229.8"," 4,797,034 ",363,5.1%, 32 ,"1,014,706,674.8"," 3,383,344 ",281,6.2%, 53 ,"1,280,158,004.3"," 4,135,807 ",301,6.3%
07Q4, 15 ,"970,140,195.5"," 2,456,985 ",395,6.0%, 6 ,"105,824,090.6"," 1,042,379 ",66,9.0%, 25 ,"1,300,677,788.1"," 4,922,059 ",441,5.5%, 46 ,"8,311,934,841.5"," 11,775,478 ",757,4.0%, 27 ,"766,860,534.4"," 3,786,368 ",207,7.3%, 9 ,"115,685,637.0"," 836,392 ",132,7.4%, 14 ,"268,580,600.0"," 1,766,752 ",172,7.2%, 8 ,"234,464,500.0"," 1,232,441 ",212,6.5%, 29 ,"754,274,087.9"," 4,456,056 ",188,6.9%, 27 ,"505,825,963.7"," 3,047,279 ",166,7.4%, 33 ,"665,686,790.3"," 5,798,994 ",119,5.5%, 57 ,"1,588,692,477.7"," 5,278,189 ",321,5.6%, 14 ,"378,819,387.0"," 1,453,505 ",265,7.2%, 3 ,"70,450,000.0"," 387,836 ",182,6.7%, 16 ,"380,461,606.7"," 1,166,406 ",326,6.3%, 18 ,"649,861,800.0"," 1,601,224 ",407,6.5%, 20 ,"594,757,666.7"," 1,874,329 ",334,5.3%, 37 ,"778,917,840.0"," 3,150,725 ",245,6.5%
08Q1, 13 ,"737,275,759.0"," 1,496,709 ",493,#N/A, 5 ,"46,183,527.0"," 828,484 ",56,#N/A, 15 ,"186,084,571.7"," 1,018,010 ",214,7.5%, 40 ,"2,444,851,977.5"," 4,591,902 ",625,5.1%, 39 ,"451,114,348.2"," 3,129,900 ",152,7.2%, 10 ,"31,859,108.0"," 243,580 ",142,#N/A, 14 ,"207,625,454.1"," 1,450,362 ",157,7.5%, 8 ,"83,581,951.7"," 551,684 ",179,8.5%, 23 ,"218,074,645.8"," 2,006,633 ",89,9.0%, 18 ,"347,039,509.0"," 2,388,956 ",145,7.2%, 30 ,"381,273,528.1"," 2,557,756 ",137,8.2%, 58 ,"1,493,628,419.5"," 4,658,887 ",294,6.2%, 16 ,"176,060,892.3"," 1,124,100 ",157,4.9%, 3 ,"11,600,000.0"," 85,297 ",133,7.6%, 23 ,"240,806,650.0"," 1,054,781 ",237,6.9%, 23 ,"660,867,941.0"," 2,342,546 ",279,5.7%, 18 ,"686,914,166.7"," 2,027,651 ",339,6.4%, 33 ,"219,956,223.0"," 1,103,011 ",207,5.7%
08Q2, 10 ,"736,174,999.7"," 1,108,226 ",556,5.0%, 3 ,"58,552,000.0"," 587,552 ",100,#N/A, 21 ,"502,359,420.1"," 1,554,941 ",307,6.3%, 26 ,"5,253,080,336.2"," 5,497,920 ",963,4.6%, 33 ,"875,226,319.3"," 4,426,533 ",199,7.8%, 10 ,"62,928,244.8"," 520,139 ",144,6.8%, 8 ,"102,364,000.0"," 684,082 ",150,6.7%, 6 ,"89,634,000.0"," 402,704 ",396,#N/A, 31 ,"1,254,347,347.9"," 6,867,848 ",188,7.9%, 16 ,"163,060,000.0"," 1,043,428 ",142,8.0%, 17 ,"774,355,840.0"," 4,490,078 ",176,7.2%, 42 ,"1,004,221,409.9"," 3,286,896 ",285,5.6%, 8 ,"304,059,812.7"," 1,423,836 ",243,7.9%, 6 ,"75,200,000.0"," 486,919 ",156,#N/A, 20 ,"324,977,129.5"," 972,847 ",335,5.6%, 10 ,"290,030,166.2"," 659,208 ",459,5.5%, 17 ,"263,665,166.7"," 1,006,647 ",298,7.1%, 18 ,"112,518,500.0"," 469,568 ",251,6.5%
08Q3, 7 ,"554,772,879.0"," 1,231,108 ",578,5.9%, 4 ,"52,700,000.0"," 689,474 ",70,#N/A, 15 ,"522,763,193.0"," 2,388,600 ",282,6.7%, 31 ,"5,523,523,266.8"," 7,302,228 ",776,5.3%, 29 ,"883,116,202.0"," 5,037,607 ",181,8.3%, 7 ,"110,610,000.0"," 668,084 ",166,8.0%, 5 ,"50,130,000.0"," 349,900 ",143,6.1%, 7 ,"510,750,000.0"," 2,829,560 ",256,#N/A, 19 ,"332,990,475.6"," 2,887,846 ",151,7.3%, 12 ,"249,801,666.7"," 1,131,226 ",221,6.8%, 6 ,"195,400,350.0"," 1,326,504 ",266,8.3%, 37 ,"806,162,608.7"," 2,480,217 ",330,5.8%, 9 ,"107,065,858.7"," 477,371 ",224,7.2%, 2 ,"8,000,000.0"," 66,480 ",120,7.8%, 16 ,"560,210,000.0"," 1,364,723 ",410,6.7%, 5 ,"149,475,000.0"," 343,089 ",436,#N/A, 11 ,"118,077,000.0"," 381,658 ",309,6.0%, 27 ,"283,675,311.3"," 1,194,498 ",237,7.8%
08Q4, 10 ,"372,928,525.0"," 759,793 ",492,7.0%, 2 ,"10,400,000.0"," 261,348 ",40,#N/A, 13 ,"285,952,000.0"," 1,468,862 ",195,5.7%, 20 ,"1,518,599,244.1"," 3,151,014 ",543,4.4%, 11 ,"95,210,166.7"," 813,376 ",117,9.6%, 5 ,"42,709,449.0"," 362,331 ",118,6.8%, 8 ,"88,361,500.0"," 478,632 ",185,8.7%, 9 ,"165,886,050.0"," 836,631 ",228,7.4%, 16 ,"258,300,000.0"," 2,224,660 ",75,8.4%, 9 ,"238,756,592.3"," 1,364,221 ",178,7.4%, 10 ,"272,994,379.9"," 1,558,123 ",159,6.0%, 26 ,"346,574,363.3"," 1,813,370 ",190,7.4%, 8 ,"59,150,000.0"," 471,103 ",123,7.7%, 6 ,"60,600,000.0"," 635,352 ",86,7.4%, 13 ,"90,399,874.1"," 517,861 ",197,7.3%, 10 ,"103,260,000.0"," 400,561 ",271,4.5%, 11 ,"230,543,910.5"," 851,196 ",247,4.1%, 25 ,"235,395,092.1"," 869,588 ",249,6.0%
09Q1, 6 ,"527,383,683.3"," 1,600,912 ",448,7.3%, 2 ,"31,000,000.0"," 224,000 ",138,7.0%, 7 ,"337,645,000.0"," 1,560,506 ",380,8.3%, 7 ,"832,400,000.0"," 1,536,572 ",565,6.0%, 6 ,"44,554,675.0"," 420,609 ",125,7.0%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, 2 ,"8,000,000.0"," 40,771 ",#N/A,#N/A, 8 ,"158,125,000.0"," 1,591,372 ",90,8.7%,#N/A,#N/A,#N/A,#N/A,#N/A, 9 ,"71,237,425.0"," 1,173,549 ",53,8.0%, 11 ,"65,190,004.3"," 281,812 ",231,6.9%, 4 ,"17,600,000.0"," 111,347 ",158,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, 4 ,"58,144,000.0"," 420,052 ",138,#N/A, 6 ,"165,413,000.0"," 246,927 ",670,#N/A, 1 ,"4,000,000.0"," 12,924 ",310,#N/A, 6 ,"46,967,000.0"," 201,169 ",233,#N/A
09Q2, 4 ,"114,664,917.0"," 327,051 ",351,8.0%, 1 ,"12,200,000.0"," 132,500 ",92,#N/A, 8 ,"110,892,683.0"," 572,278 ",221,#N/A, 6 ,"92,800,000.0"," 108,595 ",855,#N/A, 9 ,"103,720,740.0"," 1,011,872 ",103,8.0%, 3 ,"22,200,000.0"," 187,743 ",118,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, 1 ,"5,000,000.0"," 31,016 ",#N/A,#N/A, 5 ,"63,000,000.0"," 470,570 ",198,7.6%, 4 ,"146,907,500.0"," 773,213 ",190,9.8%, 11 ,"114,109,998.9"," 1,969,532 ",47,10.0%, 20 ,"229,190,000.0"," 1,342,041 ",191,7.6%, 2 ,"63,200,000.0"," 717,991 ",88,#N/A, 2 ,"36,497,360.3"," 442,623 ",#N/A,#N/A, 5 ,"138,607,495.5"," 578,068 ",225,#N/A, 6 ,"45,696,538.3"," 192,259 ",230,7.5%, 5 ,"51,000,000.0"," 152,563 ",334,6.0%, 4 ,"21,730,950.0"," 182,320 ",75,#N/A
09Q3, 8 ,"569,698,331.3"," 1,365,630 ",417,8.2%, 4 ,"89,500,000.0"," 452,000 ",#N/A,#N/A, 8 ,"176,100,000.0"," 936,394 ",188,9.7%, 12 ,"840,752,650.0"," 3,697,545 ",227,#N/A, 16 ,"140,665,083.7"," 1,766,114 ",88,7.3%, 3 ,"15,147,217.0"," 119,913 ",126,#N/A, 1 ,"5,500,000.0"," 56,064 ",98,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, 3 ,"12,204,713.8"," 89,062 ",#N/A,#N/A, 2 ,"6,686,666.7"," 105,601 ",63,#N/A, 4 ,"152,500,000.6"," 716,672 ",171,#N/A, 18 ,"160,340,830.0"," 892,701 ",205,8.5%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, 4 ,"138,608,808.8"," 302,255 ",470,7.6%, 6 ,"287,750,000.0"," 900,904 ",319,#N/A, 6 ,"91,590,021.5"," 281,335 ",326,7.7%, 4 ,"146,741,883.0"," 974,883 ",151,#N/A
09Q4, 3 ,"424,600,000.0"," 827,067 ",568,5.3%, 2 ,"15,540,000.0"," 281,828 ",55,#N/A, 8 ,"90,623,000.0"," 816,311 ",111,7.6%, 18 ,"287,604,911.0"," 976,883 ",281,6.9%, 7 ,"165,222,848.0"," 1,749,065 ",161,7.1%, 1 ,"6,845,257.5"," 64,795 ",106,#N/A, 2 ,"14,850,000.0"," 161,278 ",92,#N/A, 2 ,"17,700,000.0"," 184,023 ",101,#N/A, 21 ,"204,881,333.3"," 2,829,920 ",85,#N/A, 5 ,"49,610,000.0"," 750,389 ",66,8.3%, 9 ,"88,329,123.0"," 1,086,394 ",74,8.0%, 17 ,"262,376,799.5"," 1,328,431 ",219,9.0%, 5 ,"72,800,000.0"," 716,251 ",102,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, 9 ,"181,728,181.7"," 849,809 ",214,9.7%, 8 ,"293,628,770.0"," 856,859 ",340,9.4%, 9 ,"77,001,564.0"," 495,876 ",153,#N/A, 9 ,"233,314,242.0"," 894,616 ",261,9.7%
10Q1, 6 ,"81,525,000.0"," 326,507 ",250,#N/A, 2 ,"11,111,000.0"," 431,000 ",26,7.9%, 16 ,"516,451,106.7"," 2,385,765 ",140,7.3%, 15 ,"695,111,500.0"," 3,458,225 ",125,#N/A, 6 ,"88,211,400.0"," 776,617 ",122,6.6%,#N/A,#N/A,#N/A,#N/A,#N/A, 2 ,"30,950,000.0"," 282,573 ",134,#N/A, 3 ,"90,296,969.7"," 574,436 ",178,#N/A, 4 ,"113,404,536.7"," 964,374 ",112,7.4%, 7 ,"82,280,700.0"," 724,806 ",114,9.4%, 9 ,"613,727,739.6"," 2,448,193 ",180,10.2%, 19 ,"256,769,238.2"," 1,100,628 ",222,6.8%, 5 ,"98,121,000.0"," 559,414 ",177,9.2%, 1 ,"3,607,743.0"," 46,023 ",#N/A,#N/A, 11 ,"141,714,541.7"," 662,704 ",214,#N/A, 8 ,"83,514,743.0"," 439,443 ",168,#N/A, 17 ,"160,593,047.5"," 1,086,693 ",199,8.6%, 8 ,"47,954,000.0"," 409,136 ",117,#N/A
10Q2, 12 ,"1,088,175,586.8"," 2,597,680 ",495,6.4%, 2 ,"42,997,000.0"," 226,812 ",190,#N/A, 12 ,"511,330,193.9"," 3,129,801 ",166,7.4%, 16 ,"1,861,731,870.2"," 6,166,690 ",396,6.5%, 11 ,"90,435,955.7"," 1,097,861 ",93,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, 4 ,"20,066,854.8"," 219,890 ",82,#N/A, 3 ,"73,688,403.4"," 438,435 ",195,#N/A, 22 ,"211,585,000.0"," 3,116,511 ",56,9.4%, 17 ,"296,095,717.2"," 2,146,767 ",156,8.7%, 23 ,"338,484,456.1"," 2,721,723 ",206,9.1%, 24 ,"297,446,884.4"," 1,470,023 ",233,6.9%, 3 ,"27,277,063.7"," 185,541 ",147,#N/A, 2 ,"5,997,748.0"," 77,870 ",76,10.1%, 12 ,"231,646,333.3"," 871,565 ",262,9.8%, 7 ,"624,533,333.3"," 1,628,945 ",410,6.7%, 15 ,"236,126,333.3"," 1,020,641 ",231,7.6%, 16 ,"149,069,873.9"," 756,106 ",195,8.8%
10Q3, 5 ,"645,103,529.0"," 1,272,944 ",507,6.9%, 3 ,"26,814,500.0"," 138,615 ",173,8.8%, 11 ,"151,987,866.0"," 1,240,533 ",100,#N/A, 25 ,"2,027,728,554.0"," 5,659,825 ",463,5.2%, 11 ,"147,009,186.6"," 1,493,326 ",85,8.6%, 2 ,"7,724,400.0"," 47,399 ",163,#N/A, 5 ,"138,287,000.0"," 548,547 ",258,7.2%, 11 ,"108,100,965.3"," 846,918 ",36,7.7%, 22 ,"415,944,827.0"," 4,025,811 ",113,#N/A, 13 ,"117,863,042.0"," 1,038,305 ",114,9.4%, 13 ,"186,544,665.7"," 1,499,513 ",117,8.4%, 26 ,"490,175,566.0"," 2,092,974 ",233,7.9%, 2 ,"20,500,000.0"," 172,000 ",119,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, 15 ,"164,538,258.3"," 1,046,360 ",160,7.6%, 12 ,"673,429,039.0"," 2,730,418 ",296,7.0%, 11 ,"146,854,498.0"," 852,456 ",209,8.0%, 13 ,"1,038,767,024.0"," 2,556,119 ",408,6.6%
10Q4, 16 ,"1,380,753,667.5"," 3,283,235 ",466,6.1%, 7 ,"72,375,606.6"," 794,118 ",96,#N/A, 18 ,"1,117,070,942.0"," 3,070,594 ",364,7.7%, 39 ,"4,426,491,202.1"," 11,757,330 ",506,5.5%, 16 ,"179,351,600.0"," 1,906,086 ",95,8.0%, 3 ,"31,100,000.0"," 193,925 ",160,#N/A, 14 ,"165,744,419.1"," 840,846 ",170,#N/A, 11 ,"158,254,799.9"," 1,455,024 ",110,7.3%, 22 ,"397,597,978.3"," 2,607,448 ",224,8.3%, 16 ,"344,738,236.0"," 2,239,723 ",164,9.3%, 25 ,"857,028,096.0"," 5,728,975 ",174,9.0%, 24 ,"821,724,330.1"," 2,930,604 ",276,6.9%, 6 ,"65,656,403.7"," 537,488 ",163,7.7%, 4 ,"57,969,300.0"," 524,365 ",126,6.7%, 19 ,"478,265,833.3"," 1,781,069 ",278,6.5%, 20 ,"874,279,540.3"," 3,905,962 ",211,7.0%, 15 ,"816,609,000.0"," 3,351,624 ",242,7.8%, 13 ,"193,144,240.1"," 966,223 ",210,6.4%
11Q1, 17 ,"1,626,235,500.0"," 3,222,013 ",505,6.1%,#N/A,#N/A,#N/A,#N/A,7.4%, 11 ,"797,037,160.7"," 3,156,630 ",276,7.4%, 28 ,"1,513,000,545.2"," 3,868,779 ",485,6.1%, 11 ,"304,283,000.0"," 1,669,001 ",187,6.8%, 4 ,"85,510,000.0"," 751,633 ",114,9.0%, 3 ,"91,927,500.0"," 397,438 ",231,8.0%, 6 ,"62,875,311.9"," 922,723 ",121,#N/A, 21 ,"413,074,451.6"," 2,958,006 ",150,7.4%, 8 ,"277,212,089.3"," 1,487,671 ",218,6.8%, 12 ,"373,935,452.1"," 2,292,676 ",175,8.7%, 23 ,"653,678,188.0"," 1,918,189 ",372,7.5%, 2 ,"137,900,000.0"," 486,298 ",284,6.6%, 6 ,"50,068,661.5"," 989,000 ",51,7.9%, 9 ,"123,799,311.7"," 690,648 ",179,#N/A, 16 ,"506,533,521.2"," 4,144,404 ",145,7.3%, 14 ,"209,258,778.1"," 1,052,249 ",312,6.9%, 7 ,"96,969,740.2"," 1,515,308 ",130,8.1%
11Q2, 10 ,"825,825,000.0"," 1,994,569 ",546,4.7%, 3 ,"356,650,218.0"," 2,736,305 ",130,7.9%, 23 ,"285,077,746.0"," 1,796,562 ",160,7.1%, 36 ,"4,027,832,762.2"," 12,130,566 ",401,5.4%, 16 ,"302,009,668.3"," 3,411,333 ",87,8.0%, 3 ,"27,975,751.7"," 268,285 ",114,7.9%, 3 ,"16,465,000.0"," 109,538 ",150,7.8%, 10 ,"164,803,177.3"," 2,136,358 ",85,9.0%, 23 ,"383,234,571.3"," 4,172,953 ",97,8.9%, 18 ,"413,405,851.3"," 4,633,839 ",144,7.3%, 20 ,"780,991,666.2"," 5,385,607 ",180,7.4%, 36 ,"891,499,909.3"," 3,416,996 ",261,7.3%, 6 ,"116,579,205.3"," 977,291 ",63,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, 12 ,"197,801,002.0"," 954,211 ",207,8.0%, 22 ,"1,033,163,549.6"," 3,186,901 ",345,7.1%, 17 ,"525,844,368.0"," 2,516,214 ",209,5.9%, 19 ,"489,049,368.6"," 1,848,728 ",274,6.9%
11Q3, 6 ,"236,901,329.6"," 573,760 ",420,6.7%, 2 ,"197,000,000.0"," 1,564,435 ",126,7.2%, 23 ,"974,738,449.0"," 3,914,270 ",283,7.3%, 38 ,"5,525,369,978.5"," 13,666,213 ",472,5.7%, 15 ,"232,309,801.0"," 2,029,326 ",125,8.2%, 5 ,"65,569,641.0"," 345,195 ",227,#N/A, 5 ,"61,884,250.0"," 580,809 ",107,#N/A, 8 ,"145,284,000.0"," 652,716 ",227,7.6%, 23 ,"301,985,761.0"," 3,814,589 ",113,8.3%, 9 ,"159,729,890.0"," 1,393,711 ",115,#N/A, 28 ,"681,302,562.6"," 5,193,845 ",198,7.8%, 42 ,"444,885,493.5"," 2,794,366 ",188,6.5%, 4 ,"57,320,000.0"," 261,248 ",219,8.1%, 5 ,"23,675,000.0"," 250,363 ",134,8.2%, 15 ,"240,547,379.0"," 1,180,187 ",180,6.7%, 20 ,"679,929,428.3"," 2,142,955 ",329,6.3%, 21 ,"322,653,670.0"," 1,650,592 ",198,6.9%, 14 ,"864,047,159.9"," 2,483,967 ",358,6.2%
11Q4, 16 ,"1,124,568,672.7"," 2,628,689 ",433,5.8%, 5 ,"58,077,340.0"," 1,106,752 ",60,#N/A, 20 ,"1,019,531,056.2"," 2,920,135 ",368,6.6%, 31 ,"3,897,259,296.4"," 11,246,710 ",519,4.0%, 54 ,"919,829,914.8"," 7,674,650 ",140,7.4%, 8 ,"26,640,833.0"," 273,988 ",151,8.4%, 5 ,"38,751,640.0"," 532,287 ",73,9.6%, 10 ,"98,875,000.0"," 720,448 ",149,7.6%, 36 ,"744,781,582.2"," 9,159,511 ",104,8.1%, 25 ,"903,318,343.9"," 4,805,172 ",212,7.0%, 27 ,"1,122,967,509.3"," 9,362,687 ",312,6.3%, 56 ,"1,317,176,687.3"," 5,884,737 ",229,6.5%, 7 ,"67,141,666.7"," 549,778 ",122,8.0%, 1 ,"6,000,000.0"," 81,184 ",#N/A,#N/A, 24 ,"824,033,000.0"," 3,434,069 ",250,7.3%, 29 ,"1,095,452,250.0"," 3,800,518 ",288,6.2%, 23 ,"484,723,916.7"," 1,983,577 ",258,5.6%, 19 ,"387,348,506.4"," 1,592,460 ",258,7.7%
12Q1, 10 ,"904,917,490.0"," 1,886,817 ",513,5.3%, 8 ,"133,615,000.0"," 1,479,689 ",91,8.4%, 19 ,"1,006,241,430.2"," 2,700,821 ",375,5.7%, 35 ,"2,414,179,391.5"," 6,775,924 ",607,5.5%, 13 ,"220,242,353.8"," 2,815,714 ",88,9.1%, 5 ,"123,041,500.0"," 941,983 ",132,#N/A, 13 ,"97,975,000.0"," 1,010,505 ",93,#N/A, 12 ,"242,978,724.1"," 1,588,658 ",142,8.0%, 29 ,"725,183,175.4"," 5,633,627 ",137,7.7%, 14 ,"552,873,000.0"," 6,053,095 ",151,8.5%, 24 ,"892,406,875.0"," 4,929,234 ",191,7.3%, 47 ,"590,441,225.2"," 2,892,107 ",212,7.0%, 11 ,"158,795,063.5"," 1,041,356 ",148,9.4%, 4 ,"17,200,000.0"," 177,570 ",148,8.1%, 9 ,"220,689,490.0"," 578,089 ",382,7.9%, 24 ,"706,505,753.9"," 2,631,138 ",356,6.0%, 13 ,"247,663,293.9"," 1,303,889 ",184,#N/A, 19 ,"620,696,665.6"," 3,231,804 ",243,6.4%
12Q2, 13 ,"706,171,082.9"," 1,333,558 ",536,5.7%, 7 ,"125,821,980.5"," 817,731 ",180,6.3%, 13 ,"423,132,500.0"," 2,399,655 ",198,6.1%, 44 ,"2,634,946,108.4"," 7,190,178 ",414,5.3%, 17 ,"204,502,811.4"," 1,867,011 ",136,7.9%, 2 ,"44,647,500.0"," 217,754 ",205,#N/A, 7 ,"92,885,053.1"," 1,292,904 ",134,8.4%, 7 ,"133,835,175.0"," 707,674 ",190,7.1%, 27 ,"424,877,681.5"," 3,914,190 ",131,7.0%, 17 ,"225,476,689.5"," 1,801,327 ",127,7.1%, 19 ,"384,955,143.8"," 2,923,296 ",136,7.9%, 43 ,"741,036,888.0"," 3,539,731 ",239,7.0%, 10 ,"62,223,398.7"," 679,590 ",94,#N/A, 9 ,"151,050,000.0"," 1,047,741 ",167,8.2%, 21 ,"158,156,280.0"," 951,032 ",172,8.1%, 21 ,"1,915,758,166.7"," 4,133,678 ",474,5.4%, 18 ,"500,856,112.0"," 1,818,350 ",274,6.5%, 24 ,"1,093,921,135.2"," 3,127,028 ",358,6.3%
