,dc prop,dc vol,dc units,dc psf,dc cr,pitts prop,pitts vol,pitts units,pitts psf,pitts cr,bos prop,bos vol,bos units,bos psf,bos cr,nyc prop,nyc vol,nyc units,nyc psf,nyc cr,atl prop,atl vol,atl units,atl psf,atl cr,nash prop,nash vol,nash units,nash psf,nash cr,rd prop,rd vol,rd units,rd psf,rd cr,aus prop,aus vol,aus units,aus psf,aus cr,dall prop,dall vol,dall units,dall psf,dall cr,den prop,den vol, den units,den psf,den cr,hous prop,hous vol,hous units,hous psf,hous cr,la prop,la vol,la units,la psf,la cr,port prop,port vol,port units,port psf,port cr,slc prop,slc vol,slc units,slc psf,slc cr,sd prop,sd vol,sd units,sd psf,sd cr,sf prop,sf vol,sf units,sf psf,sf cr,sj prop,sj vol,sj units,sj psf,sj cr,sea prop,sea vol,sea units,sea psf,sea cr
09Q3,8,569698331.3,1365630,417.17,0.08,4,89500000,452000,0,0,8,176100000,936394,188.06,0.1,12,840752650,3697545,227.38,0,16,140665083.7,1766114,88.43,0.07,3,15147217,119913,126.32,0,1,5500000,56064,98.1,0,0,0,0,0,0,3,12204713.78,89062,0,0,2,6686666.67,105601,63.32,0,4,152500000.6,716672,171.15,0,18,160340830,892701,205.15,0.08,0,0,0,0,0,0,0,0,0,0,4,138608808.8,302255,470.3,0.08,6,287750000,900904,319.4,0,6,91590021.5,281335,325.56,0.08,4,146741883,974883,150.52,0
09Q4,3,424600000,827067,568.03,0.05,2,15540000,281828,55.14,0,8,90623000,816311,111.02,0.08,18,287604911,976883,281.44,0.07,7,165222848,1749065,160.9,0.07,1,6845257.45,64795,105.64,0,2,14850000,161278,92.08,0,2,17700000,184023,100.82,0,21,204881333.3,2829920,85.1,0,5,49610000,750389,66.11,0.08,9,88329123,1086394,74.16,0.08,17,262376799.5,1328431,218.87,0.09,5,72800000,716251,101.64,0,0,0,0,0,0,9,181728181.7,849809,213.85,0.1,8,293628770,856859,339.6,0.09,9,77001564,495876,153.14,0,9,233314242,894616,260.8,0.1
10Q1,6,81525000,326507,249.69,0,2,11111000,431000,25.78,0.08,16,516451106.7,2385765,140.3,0.07,15,695111500,3458225,125.03,0,6,88211400,776617,122.07,0.07,0,0,0,0,0,2,30950000,282573,134.48,0,3,90296969.7,574436,177.71,0,4,113404536.7,964374,111.84,0.07,7,82280700,724806,113.52,0.09,9,613727739.6,2448193,180.48,0.1,19,256769238.2,1100628,221.7,0.07,5,98121000,559414,176.56,0.09,1,3607742.97,46023,0,0,11,141714541.7,662704,213.84,0,8,83514742.99,439443,167.6,0,17,160593047.5,1086693,199.1,0.09,8,47954000,409136,117.21,0
10Q2,12,1088175587,2597680,494.85,0.06,2,42997000,226812,189.57,0,12,511330193.9,3129801,166.41,0.07,16,1861731870,6166690,395.52,0.06,11,90435955.7,1097861,92.53,0,0,0,0,0,0,4,20066854.81,219890,81.95,0,3,73688403.37,438435,194.8,0,22,211585000,3116511,55.63,0.09,17,296095717.2,2146767,155.53,0.09,23,338484456.1,2721723,205.89,0.09,24,297446884.4,1470023,233.03,0.07,3,27277063.69,185541,147.01,0,2,5997748,77870,76,0.1,12,231646333.3,871565,261.57,0.1,7,624533333.3,1628945,409.96,0.07,15,236126333.3,1020641,231.35,0.08,16,149069873.9,756106,195.13,0.09
10Q3,5,645103529,1272944,506.78,0.07,3,26814500,138615,173.09,0.09,11,151987866,1240532.98,100.01,0,25,2027728554,5659825,463.45,0.05,11,147009186.6,1493326,85.31,0.09,2,7724400,47399,162.97,0,5,138287000,548547,258.3,0.07,11,108100965.3,846918,36.18,0.08,22,415944827,4025811,112.61,0,13,117863042,1038305,114.26,0.09,13,186544665.7,1499513,116.65,0.08,26,490175566,2092974,232.72,0.08,2,20500000,172000,119.19,0,0,0,0,0,0,15,164538258.3,1046360,160.36,0.08,12,673429039,2730418,295.99,0.07,11,146854498,852456,209.02,0.08,13,1038767024,2556119,408.17,0.07
10Q4,16,1380753668,3283235,465.78,0.06,7,72375606.6,794118,95.92,0,18,1117070942,3070594,363.8,0.08,39,4426491202,11757330,506.47,0.05,16,179351600,1906086,94.93,0.08,3,31100000,193925,160.37,0,14,165744419.1,840846,170.04,0,11,158254799.9,1455024,110.4,0.07,22,397597978.3,2607448,224.42,0.08,16,344738236,2239723,164.04,0.09,25,857028096,5728975,173.8,0.09,24,821724330.1,2930604,276.1,0.07,6,65656403.68,537488,163.21,0.08,4,57969300,524365,125.51,0.07,19,478265833.3,1781069,277.61,0.07,20,874279540.3,3905962,210.8,0.07,15,816609000,3351624,242.28,0.08,13,193144240.1,966223,209.99,0.06
11Q1,17,1626235500,3222013,504.73,0.06,0,0,0,0,0.07,11,797037160.7,3156630,275.76,0.07,28,1513000545,3868779,485.2,0.06,11,304283000,1669001,186.84,0.07,4,85510000,751633,113.77,0.09,3,91927500,397438,231.3,0.08,6,62875311.91,922723,120.53,0,21,413074451.6,2958006,149.82,0.07,8,277212089.3,1487671,217.84,0.07,12,373935452.1,2292676,175.39,0.09,23,653678188,1918189,371.68,0.07,2,137900000,486298,283.57,0.07,6,50068661.54,989000,51.26,0.08,9,123799311.7,690648,179.25,0,16,506533521.2,4144404,144.84,0.07,14,209258778.1,1052249,312.2,0.07,7,96969740.24,1515308,130.26,0.08
11Q2,10,825825000,1994569,545.94,0.05,3,356650218,2736305,130.34,0.08,23,285077746,1796562,160.28,0.07,36,4027832762,12130566,400.56,0.05,16,302009668.3,3411333,87.1,0.08,3,27975751.72,268285,113.65,0.08,3,16465000,109538,150.31,0.08,10,164803177.3,2136358,85.07,0.09,23,383234571.3,4172953,97.41,0.09,18,413405851.3,4633839,144.45,0.07,20,780991666.2,5385607,180.08,0.07,36,891499909.3,3416996,260.9,0.07,6,116579205.3,977291,63.2,0,0,0,0,0,0,12,197801002,954211,207.29,0.08,22,1033163550,3186901,344.57,0.07,17,525844368,2516214,208.98,0.06,19,489049368.6,1848728,273.69,0.07
11Q3,6,236901329.7,573760,419.84,0.07,2,197000000,1564435,125.92,0.07,23,974738449,3914270,282.54,0.07,38,5525369979,13666213,471.77,0.06,15,232309801,2029326,125.23,0.08,5,65569641,345195,226.66,0,5,61884250,580809,106.55,0,8,145284000,652716,226.84,0.08,23,301985761,3814589,112.77,0.08,9,159729890,1393711,115.04,0,28,681302562.6,5193845,197.54,0.08,42,444885493.5,2794366,187.98,0.07,4,57320000,261248,219.41,0.08,5,23675000,250363,133.57,0.08,15,240547379,1180187,179.52,0.07,20,679929428.3,2142955,329.2,0.06,21,322653670,1650592,197.7,0.07,14,864047159.9,2483967,357.8,0.06
11Q4,16,1124568673,2628689,432.63,0.06,5,58077340,1106752,59.7,0,20,1019531056,2920135,368.3,0.07,31,3897259296,11246710,519.31,0.04,54,919829914.8,7674650,140.42,0.07,8,26640833,273988,150.81,0.08,5,38751640,532287,72.8,0.1,10,98875000,720448,148.67,0.08,36,744781582.2,9159511,103.89,0.08,25,903318343.9,4805172,212.19,0.07,27,1122967509,9362687,312.04,0.06,56,1317176687,5884737,229.33,0.06,7,67141666.67,549778,122.13,0.08,1,6000000,81184,0,0,24,824033000,3434069,249.81,0.07,29,1095452250,3800518,288.24,0.06,23,484723916.7,1983577,257.62,0.06,19,387348506.4,1592460,258.35,0.08
12Q1,10,904917490,1886817,512.99,0.05,8,133615000,1479689,91.02,0.08,19,1006241430,2700821,375.14,0.06,35,2414179392,6775924,607.05,0.06,13,220242353.8,2815714,88.11,0.09,5,123041500,941983,131.68,0,13,97975000,1010505,92.56,0,12,242978724.1,1588658,142.36,0.08,29,725183175.4,5633627,136.99,0.08,14,552873000,6053095,150.5,0.08,24,892406875,4929234,190.95,0.07,47,590441225.2,2892107,212.24,0.07,11,158795063.5,1041356,147.61,0.09,4,17200000,177570,148.07,0.08,9,220689490,578089,381.76,0.08,24,706505753.9,2631138,355.79,0.06,13,247663293.9,1303889,183.57,0,19,620696665.6,3231804,243.26,0.06
12Q2,13,706171082.9,1333558,536.03,0.06,7,125821980.5,817731,180.02,0.06,13,423132500,2399655,198.28,0.06,44,2634946108,7190178,413.94,0.05,17,204502811.4,1867011,135.74,0.08,2,44647500,217754,205.04,0,7,92885053.06,1292904,134.12,0.08,7,133835175,707674,190.23,0.07,27,424877681.5,3914190,130.57,0.07,17,225476689.5,1801327,127.16,0.07,19,384955143.8,2923296,135.65,0.08,43,741036888,3539731,239.22,0.07,10,62223398.74,679590,94.25,0,9,151050000,1047741,166.67,0.08,21,158156280,951032,171.84,0.08,21,1915758167,4133678,474.34,0.05,18,500856112,1818350,274.45,0.07,24,1093921135,3127028,357.71,0.06
12Q3,10,711564910,1570262,454.61,0.06,2,30620920,192814,158.81,0.12,28,591856729.3,3224590,183.45,0.07,40,2613959825,4677466,594.07,0.05,41,675371858.8,5206215,146,0.08,8,52942351,557024,95.05,0.08,10,76902505,667170,115.27,0.07,18,975299644.7,4843751,180.89,0.05,31,447909377.4,4513408,108.71,0.07,14,239510795.5,1568074,162.53,0.07,32,1151407837,6514467,202.23,0.07,66,1611740089,7026592,287.74,0.07,9,105119815.4,612094,178.51,0.07,5,25163217.15,216766,0,0,19,328485133,1844226,179.9,0.07,17,1020238000,2917886,461.39,0.06,24,598233210,2705956,226.07,0.06,26,709148359.3,2423617,295.74,0.06
12Q4,10,1067146736,2528550,422.04,0.05,9,219828850.7,2181863,107,0.07,34,635939843,3908256,178.99,0.07,72,5971465797,14663063,551.32,0.05,32,600658390.7,5214166,101.17,0.09,13,218890642.4,1315461,168.76,0.08,13,133331750,858269,157.93,0.07,22,330922531,2264995,215.86,0.08,44,633691418.5,5721551,123.88,0.07,24,346945500,3275579,105.92,0.07,50,1631934393,9902784,182.73,0.08,83,1962900050,9639095,266.27,0.06,10,61831967.5,443501,139.42,0.08,7,126449860,835979,221.52,0.06,22,519024994.9,2181023,238.31,0.08,39,2845029095,7216973,539.27,0.05,35,852460157.5,3583464,235.84,0.07,34,2759327855,6060388,488.06,0.06
13Q1,9,563269229.9,1359268,510.45,0.06,5,75840026.58,528926,182.66,0.08,18,680963870.1,2828805,225.33,0.06,32,3709909747,5220708,801.78,0.06,23,678475920.3,5331188,174.12,0.08,3,22967153,111242,206.46,0.07,7,153793599.8,1418136,162.98,0.08,11,375555731,2092020,191.17,0,38,787731900.4,5638112,163.61,0.07,14,311773358,1850386,194.18,0.08,15,892163878,5435931,170.62,0.07,45,771652214.7,4704331,161.34,0.07,9,168949067.9,825577,271.65,0.07,3,28860000,287921,100.99,0,18,307840874,1191808,258.37,0.09,14,357406000,915595,411.69,0.05,16,357875511.7,1178777,304.87,0.06,18,508298557.3,1861357,273.08,0.08
13Q2,10,553551000,955387,583.76,0.06,2,7850399,33575,233.82,0.08,33,1052002484,5293852,197.82,0.06,49,5231478580,8714071,691.94,0.04,29,1151576418,6766191,171.23,0.07,9,38346058.83,957660,42.59,0,6,72950000,557772,130.79,0.07,16,389729792.6,2130227,183.72,0,36,855852881.7,6705868,127.42,0.07,18,681465241,3593034,192.52,0.07,31,1248709964,5694981,312.83,0.07,62,2352374086,8217207,296.44,0.06,10,139744039,939208,148.79,0.06,6,33500000,262027,168.86,0.08,11,155081000,680849,227.78,0.06,23,496066833.3,1653833,304.96,0.06,36,1017929549,3492995,318.39,0.06,17,843793333.3,2389985,353.05,0.07
13Q3,20,1678225718,3634078,591.91,0.06,8,144885000,1219776,107.41,0.08,29,925447500,3312484,375.09,0.06,40,3450859739,4848511,717.57,0.05,34,1103773798,5954989,118.42,0.08,15,315114500,2622752,126.69,0.08,10,157326733.2,1327544,124.1,0.07,15,523465683.3,2684053,226.91,0.07,38,873387366,7044035,133.4,0.08,28,636683950,2481749,256.55,0.07,31,1729229372,9081521,201.24,0.07,73,3471686374,13803739,327.83,0.06,10,106879709.5,760376,138.63,0.07,10,161446000,1057789,159.88,0.08,23,551336187,1859804,292.79,0.07,20,317735614,714884,426.15,0.06,26,655586000,1955250,335.3,0.06,24,802218504,2249147,400.12,0.07
13Q4,12,495494293.3,1021194,485.21,0.05,5,38680500,518663,56.98,0.08,36,2348352428,6182230,388.45,0.06,65,8691770606,17706151,625.56,0.05,49,1012396983,9033347,122.83,0.08,17,371564963.3,2604294,143.03,0.07,5,57578000,630985,91.25,0.08,24,644883967,5160062,254.31,0.06,57,1180806872,10234882,127.52,0.08,42,854313480.4,5111843,138.63,0.07,44,1703499776,9357772,192.7,0.07,82,2927833206,13249058,187.9,0.07,14,120068211.6,828846,157.22,0,10,67389527.95,620506,109.48,0.07,28,464186678.1,1956683,241.49,0.07,22,1384030578,3253430,425.62,0.05,38,1685546829,5217832,347.89,0.06,37,1387140226,5104128,290.13,0.06
14Q1,13,1414904909,2617526,630.56,0.06,10,60572456,1033934,58.58,0,27,1223462497,3190429,396.01,0.05,45,3220364072,6601698,839.19,0.04,33,557848973.3,4236463,109.32,0.07,6,128510100,711348,180.66,0,11,117753680.2,1200155,95.51,0.08,21,358149933.2,6187456,213.48,0.06,39,660088510.7,7170919,82.39,0.07,18,216950000,2053102,117.93,0.07,18,656411250,2920537,254.01,0.07,87,2008640619,9401497,268.09,0.07,8,79994135,594411,149.65,0.08,6,234975447,1020328,236.47,0.08,26,696711487.9,3469321,174.35,0.06,23,1825242712,5107188,393.56,0.05,25,676999614.3,2065017,330.46,0.06,22,632956865,1928474,304.41,0.05
14Q2,14,741583279.7,2169123,457.64,0.06,3,41904927,691136,60.63,0.08,38,1944634400,5502989,370.42,0.06,49,5973518951,10324004,762.86,0.04,22,346954635,2969537,116.84,0.09,9,167816370,1389225,120.8,0.07,6,71255000,343278,207.57,0.07,15,187473976.7,904344,296.66,0.07,41,755777767.3,4978656,181.41,0.08,27,888794807.5,4596908,250.47,0.07,33,633485104.9,3645947,190.66,0.08,65,2633263564,7818122,231.41,0.06,11,126200050,607777,167.16,0.08,4,38000000,292758,61.5,0.06,26,270525928.1,1335735,223.86,0.07,38,2345515045,4830951,502.83,0.05,40,1143138765,3223198,400.96,0.06,20,298949376.8,1278210,239.42,0.07
14Q3,12,495863079,1108386,447.37,0.05,1,3000000,21278,140.99,0.06,60,3750734028,9920110,388.72,0.06,47,6046271988,10725895,614.78,0.04,39,1130708503,7168728,164.6,0.07,14,135080200,878478,153.77,0,25,327873079.7,2337127,140.18,0.07,20,675284314.7,2970769,233.16,0.07,59,1031673855,8612948,104.85,0.07,28,474313696.8,2868169,153.18,0.07,35,736971840,4876709,173.27,0.07,69,1557480421,4689736,343.49,0.06,15,182722250,1338887,136.47,0.08,14,90616317.29,798095,99.19,0.07,35,311264226.2,1447658,218.21,0.07,45,3366039652,7688689,465.2,0.05,32,653504898.9,2979015,223.76,0.05,18,221513477.5,962812,233.93,0.06
14Q4,16,1637040882,2965248,608.14,0.06,6,109014501,811174,147.44,0.07,41,2292058217,9016306,232.95,0.06,44,7449249992,14255489,724.8,0.05,44,871395830.6,5921376,164.26,0.07,10,172971035.3,1006495,170.76,0.08,16,202401732.3,1061606,210.03,0.07,32,1127666912,5703863,286.22,0.06,55,1085044625,6326488,171.08,0.07,61,759443282.4,7044634,111.79,0.07,43,851290156.7,5466023,199.75,0.07,80,1895989205,7553649,265.48,0.06,20,427214158.6,2836404,178.57,0.07,12,331849932.9,1857818,180.73,0.08,36,727350010,2546529,311.25,0.06,30,2121121034,3839575,589.86,0.05,49,1248661999,3519697,364.32,0.06,41,1003730277,4063300,249.21,0.06
15Q1,8,1397802800,1726416,708.5,0.05,3,62725000,1365900,58.28,0.07,38,1444117264,3818118,387.19,0.06,51,6781212192,7983807,1006.25,0.05,24,668741946.4,3326765,204.42,0.06,9,114725000,562139,206.36,0.07,16,310945422.7,1506850,197.17,0.08,16,407391486.7,1752902,290.95,0.07,50,780850972.2,4944370,152.96,0.07,33,706666429.1,3378846,205.6,0.07,30,1055573188,3873561,366.92,0.07,57,1504098810,3855386,379.37,0.06,16,290575115,1307462,230.65,0.07,13,113393200,846818,136.62,0,27,370817708.7,1467849,262.65,0.06,37,3085569568,6754938,485.87,0.05,43,2995574569,7335116,407.61,0.06,39,1890680377,4740087,391.84,0.06
15Q2,26,1483972314,3654442,523.05,0.07,7,85258973,1236179,68.97,0,36,2017769210,6127957,220.68,0.06,48,6150143473,12095510,713.48,0.05,45,1851552367,10017984,173.59,0.06,15,249076383.2,1083435,159.48,0.08,42,715790062.3,3780050,187.38,0.07,19,726695215.7,3338556,239.61,0.07,42,843274587.6,5120657,202.32,0.07,30,370637815.3,2337869,155.39,0.07,26,468794968,2379730,207.77,0.07,75,1569334407,4329994,343.74,0.06,14,160494985.3,967461,166.67,0.07,11,142522490.7,970320,152.52,0.09,39,892368032.9,3066751,289.5,0.06,18,485730499,876563,552.55,0.05,46,1577488699,4384674,357.9,0.05,41,859037764.9,3015079,285.26,0.06
15Q3,12,1096044376,2314118,654.19,0.05,6,98873000,685414,146.51,0.08,26,1303621199,4764041,274.78,0.06,44,6814524510,8852894,841.73,0.04,49,1050549701,7269651,127.96,0.08,18,226294976.9,2227559,120.48,0,13,140132420.7,1328519,113.4,0.07,15,348342927.8,1293069,365.81,0.06,61,1147934262,11007923,91.58,0.08,30,679346115.7,4526170,217.15,0.07,56,605032685.3,6944916,111.34,0.08,93,2094418185,8121425,256.53,0.06,19,721188685,2643808,297.65,0.06,9,102389177.1,791174,171.3,0,58,1088743671,4463924,255.18,0.07,20,1837975917,2674388,691.13,0.05,32,1181109667,2582970,425.5,0.06,46,1666661628,5027038,337.44,0.06
15Q4,13,865028875,1786393,531.41,0.06,7,80561640.4,1022362,106.11,0.07,44,3567839499,7695385,503.58,0.05,59,8848225811,17164800,800.28,0.05,64,1535085253,9484967,178.28,0.07,17,296675558.3,1978674,151.21,0,24,327566767.9,2419697,151.89,0.06,13,714320000,2702967,292.9,0.07,53,1554227617,11335098,152.06,0.07,34,708300516,3445205,205.59,0.07,28,841098822.1,3207203,329.61,0.08,88,1683160669,5929589,295.71,0.06,17,117062056.1,555043,237.31,0.06,13,109644057.1,777827,131.31,0.08,35,458990145.7,2160542,203.07,0.06,25,1352512008,2242604,601.43,0.06,29,1616902748,3573418,482.13,0.05,43,1151686750,3290453,364.77,0.07
16Q1,17,801626157.6,1642962,494.99,0.05,5,177732508,1251706,141.99,0,59,3090544859,6948073,286.48,0.05,36,5159227978,7378985,1080.09,0.04,35,728585640,5903820,130.84,0.07,13,98438834,383766,256.51,0.07,12,178526486.5,793858,223.07,0.06,14,209857915.6,931135,207.08,0.06,42,619424039.9,4390498,141.17,0.08,25,625003679.4,3231281,182.65,0.07,21,272878137.3,2845573,93.15,0,50,2653575512,5174594,518.07,0.06,15,173181159.9,1126329,190.66,0.07,12,157150474.7,1110155,210.63,0.06,46,1343497322,3958197,321.19,0.06,15,1304450221,3066564,404.43,0.05,21,364181702,1238801,293.94,0.05,33,1461290863,3732786,368.32,0.06
16Q2,11,276776344.4,613075,462.88,0.05,7,80159659.5,635614,133.13,0.08,37,1759681395,5685995,394.65,0.05,48,9247330879,19227973,881.03,0.05,31,422384584.1,2914971,147.96,0.08,9,257899105,1339063,198.44,0.07,12,188973701,1530433,128.09,0.09,19,468857147.4,1712350,324.07,0.06,54,1019351128,7303132,173.12,0.07,28,656215493.9,2732212,237.18,0.06,20,214773090.4,1277526,212.63,0.08,88,3613634217,10769794,343.41,0.05,15,410744235,1683210,245.86,0.06,9,104793050,648424,157.36,0.08,26,443296034.2,1714761,288.21,0.06,17,1770873000,2826460,626.53,0.05,27,795960356.2,1797464,446.46,0.05,38,965869125.3,3449047,299.15,0.06
16Q3,11,1120850938,2586687,378.26,0.06,8,316100000,2069454,152.75,0,35,1159940482,3034076,412.29,0.06,32,4632099134,7340046,844.37,0.04,42,1502327197,7568402,197.53,0.07,24,356872908.5,1832176,196.05,0.07,18,242521201.5,1256122,183.38,0,23,691655146,2414291,354.93,0.07,49,2218766970,10627451,245.67,0.06,25,391935780.7,2050277,183.74,0.07,15,283986251.9,1659336,114.36,0.06,71,1710120447,5358906,330.1,0.05,19,349143724,1706118,204.64,0.06,5,181578917.2,755145,247.9,0.07,31,343739606.6,1483151,236.32,0.07,31,2070583198,3918570.76,697.86,0.04,30,1357208253,3804458,313.67,0.06,35,1059836541,2703899,392.3,0.06
16Q4,16,1269427064,2527555,570.8,0.05,5,114877500,723432,155.09,0.07,30,1865116572,4606208,403.09,0.05,41,3731869676,8515808,792.38,0.04,55,1858814137,11387519,176.69,0.07,10,100071810,508153,196.93,0,17,224201960.2,1500778,220.27,0.06,23,1132653927,3658575,210.37,0.06,71,2498546907,11964269,238.17,0.07,26,567042300,2906899,195.07,0.07,34,1160369848,5066520,285.23,0.09,73,3613171122,8158124,462.23,0.06,18,387858979.3,1506453,259.52,0.06,17,107152396.1,783543,208.63,0.07,32,717766027.2,2847321,250.4,0.06,32,2569040687,3928729,670.07,0.05,42,1429523207,2962446,488.93,0.06,49,1952381854,4510176,427.72,0.06
17Q1,14,1577887500,3059283,564.15,0.06,9,184581215.7,1402209,131.64,0.07,31,3679594646,6533735,662.59,0.04,26,2550607052,4294444,734.27,0.04,42,586807577.4,4200358,137.94,0.07,7,140698250,664050,211.88,0.07,17,204026500,1126479,183.77,0.08,14,545450963.3,1742486,338.12,0.06,39,543044654.4,3284933,203.01,0.07,34,501139095.5,2775203,199.32,0.07,38,853132837.9,5673899,144.99,0.07,86,2464370188,7630776,292.92,0.06,15,288549990.7,1171443,253.66,0.05,14,294443678.7,1690847,244.32,0.07,34,449832064.1,1855558,237.56,0.05,26,1890193401,2923756,666.56,0.05,26,1108166821,2524124,437.37,0.06,37,614393195.8,1636382,377.97,0.06
17Q2,12,851851000,1249688,681.65,0.04,1,43108106.07,235902,0,0,38,2474328078,5804986,423.88,0.05,23,5142269780,8051495,769.89,0.04,32,949535533.8,5132954,182.17,0.06,10,129109220.8,640224,146.15,0,14,216190028.3,2296086,85.65,0.07,19,589373178.8,1963195,353.51,0.07,65,1883122220,7095437,270.91,0.07,32,525128340.2,2529200,249.16,0.07,37,1251932031,7934285,247.02,0.07,74,2186814171,7346166,327.09,0.06,16,245434971.9,1160223,237.55,0.05,7,60699361,379481,164.75,0.06,17,195565251.5,684178,289.64,0.06,21,1334429000,2405516,629.21,0.05,26,909846198,1604243,567.15,0.06,40,1237508981,2691579,462.52,0.06
17Q3,5,690997400,1199787,575.93,0.06,4,26419427,138500,190.75,0.07,29,906530396,3883995,248.19,0.05,23,1684002085,2476469,741.94,0.05,46,1025629482,5403633,191.16,0.06,11,98835000,396535,249.25,0,33,323125088.1,1984872,162.39,0.05,13,292200000,823089,450.42,0.06,48,1276879032,5644209,225.21,0.07,19,138694501.8,943437,149.21,0.09,33,1845379156,13330013,236.67,0.08,70,2827460434,7383239,382.01,0.05,15,435724174.3,1172774,371.53,0.06,15,159980000,670970,283.75,0.07,39,1202733322,3657105,343.67,0.06,19,1187042000,2559816,759.66,0.05,33,1824951213,3706561,457.97,0.06,51,866005134.5,2595287,338.64,0.06
17Q4,20,2018203434,3831421,541.93,0.05,5,86250000,1301706,66.26,0,37,1004065595,3469787,316.39,0.06,31,5088774969,10074972,763.89,0.05,76,1486372362,7266808,185.72,0.06,14,323549691,1671688,193.55,0.07,21,382814620.3,1906415,217.43,0.05,16,422522257.1,1613921,252.59,0,54,910379676.6,6338576,139.68,0.07,39,1076254390,4274653,250.25,0.07,32,1770330457,7921764,262.57,0.07,83,3220804525,10073539,320.78,0.05,18,473469801,1926394,270.82,0.07,11,61474150,427116,135.84,0.06,29,557527508.9,2007413,279.37,0.07,17,883103190.2,1967711,508.78,0.06,27,1330631318,3487054,381.59,0.05,41,1361343175,3321551,409.85,0.06
18Q1,11,1028454512,1573306,712.25,0.04,13,146685951.7,2923322,153.78,0,39,847096917,4591985,184.47,0.06,28,5631200288,6737115,1091.68,0.04,52,987108373.4,4744651,207.17,0.07,12,289330000,1438131,202.58,0.08,21,573050362.4,2557594,222.64,0.07,8,319827491.5,1112305,373.47,0,35,322941810,2301387,166.64,0.07,28,860244575.1,4067467,294.88,0.06,36,784383039.1,4978002,132.03,0.08,62,1425061391,3783329,376.67,0.05,18,271359629.4,1227124,232.36,0.07,5,31193579,161521,227.91,0.07,22,452705585,1381744,335.45,0.07,18,550302500,750860,732.9,0.06,17,649001565.5,1047944,711.11,0.05,38,842786284.2,3560118,235.28,0.06
